,Company_name,Location,Salary,Title,Experience
0,    AskMyUncleSam,"New York, NY",85000.0,Data_Scientist,Entry_level
1,        Celgene,"Summit, NJ 07901",85000.0,Data_Scientist,Entry_level
2,        Technosoft Corporation,"Jersey City, NJ 07097",85000.0,Data_Scientist,Entry_level
3,        Bloomberg,"New York, NY",85000.0,Data_Scientist,Entry_level
4,        Dailymotion,"New York, NY",85000.0,Data_Scientist,Entry_level
5,    Dascase Technologies Inc,"New Brunswick, NJ",85000.0,Data_Scientist,Entry_level
6,    Datadog,"New York, NY 10001 (Chelsea area)",85000.0,Data_Scientist,Entry_level
7,        RangTech,"Township of Piscataway, NJ",85000.0,Data_Scientist,Entry_level
8,        ShopKeep,"New York, NY",85000.0,Data_Scientist,Entry_level
9,    Veterans Sourcing Group,"Jersey City, NJ 07310 (Downtown area)",85000.0,Data_Scientist,Entry_level
10,"    DoubleVerify, Inc","New York, NY 10018 (Clinton area)",85000.0,Data_Scientist,Entry_level
11,    Averity,"New York, NY",85000.0,Data_Scientist,Entry_level
12,    Shulman Fleming & Partners,"New York, NY",85000.0,Data_Scientist,Entry_level
13,        New York Life Insurance Co,"New York, NY",85000.0,Data_Scientist,Entry_level
14,    SARIAN SOLUTIONS,"Edison, NJ",85000.0,Data_Scientist,Entry_level
15,    Cavalier IT Solutions,"New Brunswick, NJ 08933",85000.0,Data_Scientist,Entry_level
16,        OnDeck,"New York, NY",85000.0,Data_Scientist,Entry_level
17,        Marlabs Inc.,"Jersey City, NJ",85000.0,Data_Scientist,Entry_level
18,    Averity,"New York, NY",85000.0,Data_Scientist,Entry_level
19,    Averity,"New York, NY",85000.0,Data_Scientist,Entry_level
20,        Mount Sinai Health System,"New York, NY 10029 (Yorkville area)",85000.0,Data_Scientist,Entry_level
21,    Payette Group,"New York, NY",85000.0,Data_Scientist,Entry_level
22,        Incedo,"Somerset, NJ 08873",85000.0,Data_Scientist,Entry_level
23,    Oliver James Associates,"New York, NY",85000.0,Data_Scientist,Entry_level
24,        Jobspring Partners,"New York, NY",85000.0,Data_Scientist,Entry_level
25,    Dia&Co,"New York, NY",85000.0,Data_Scientist,Entry_level
26,    Dstillery,"New York, NY",85000.0,Data_Scientist,Entry_level
27,    Averity,"New York, NY",85000.0,Data_Scientist,Entry_level
28,    Rang Technologies Inc.,"Piscataway, NJ 08854",85000.0,Data_Scientist,Entry_level
29,        pymetrics,"New York, NY 10016 (Gramercy area)",85000.0,Data_Scientist,Entry_level
30,    CompIQ,"New York, NY",85000.0,Data_Scientist,Entry_level
31,        Galvanize,"New York, NY",85000.0,Data_Scientist,Entry_level
32,        Squarespace,"New York, NY 10014 (West Village area)",85000.0,Data_Scientist,Entry_level
33,    AskMyUncleSam,"New York, NY",85000.0,Data_Scientist,Entry_level
34,        AIG,"New York, NY",85000.0,Data_Scientist,Entry_level
35,        MediaMath,"New York, NY",85000.0,Data_Scientist,Entry_level
36,        Celgene Corporation,"Summit, NJ 07901",85000.0,Data_Scientist,Entry_level
37,        Chubb,"Whitehouse Station, NJ",85000.0,Data_Scientist,Entry_level
38,    ExecThread,"New York, NY",85000.0,Data_Scientist,Entry_level
39,    Averity,"New York, NY",85000.0,Data_Scientist,Entry_level
40,        RangTech,"Township of Piscataway, NJ",85000.0,Data_Scientist,Entry_level
41,"    Knotch, Inc.","New York, NY",85000.0,Data_Scientist,Entry_level
42,    Cavalier IT Inc,"Jersey City, NJ",85000.0,Data_Scientist,Entry_level
43,        Verizon,"New York, NY 10010 (Gramercy area)",85000.0,Data_Scientist,Entry_level
44,        Guidepoint Global,"New York, NY",85000.0,Data_Scientist,Entry_level
45,    Schrodinger,"New York, NY",85000.0,Data_Scientist,Entry_level
46,        Workbridge Associates,"New York, NY 10017 (Midtown area)",85000.0,Data_Scientist,Entry_level
47,        Spotify,"New York, NY 10011 (Chelsea area)",85000.0,Data_Scientist,Entry_level
48,"        Open Systems Technologies, Inc.","New York, NY",85000.0,Data_Scientist,Entry_level
49,        Morgan Stanley,"New York, NY 10032 (Washington Heights area)",85000.0,Data_Scientist,Entry_level
50,        Celgene,"Summit, NJ",85000.0,Data_Scientist,Entry_level
51,    Averity,"New York, NY",85000.0,Data_Scientist,Entry_level
52,        Quartet,"New York, NY 10018 (Clinton area)",85000.0,Data_Scientist,Entry_level
53,        Analytic Recruiting,"New York, NY 10017 (Midtown area)",85000.0,Data_Scientist,Entry_level
54,        Velocity Resource Group,"New York, NY 10013 (Tribeca area)",85000.0,Data_Scientist,Entry_level
55,    Selby Jennings,"New York, NY 10167 (Midtown area)",85000.0,Data_Scientist,Entry_level
56,    Averity,"Basking Ridge, NJ",85000.0,Data_Scientist,Entry_level
57,    Lamoreaux Search,"Jersey City, NJ",85000.0,Data_Scientist,Entry_level
58,        Michael Page US,"New York, NY",85000.0,Data_Scientist,Entry_level
59,        Workbridge Associates,"New Brunswick, NJ",85000.0,Data_Scientist,Entry_level
60,    Selby Jennings,"New York, NY 10167 (Midtown area)",85000.0,Data_Scientist,Entry_level
61,        Analytic Recruiting,"New York, NY 10017 (Midtown area)",85000.0,Data_Scientist,Entry_level
62,        iTech Solutions,"Basking Ridge, NJ 07920",85000.0,Data_Scientist,Entry_level
63,    Selby Jennings,"New York, NY 10167 (Midtown area)",85000.0,Data_Scientist,Entry_level
64,"    Radiant System, Inc","Plainsboro, NJ 08536",85000.0,Data_Scientist,Entry_level
65,        2U,"New York, NY",85000.0,Data_Scientist,Entry_level
66,        Macquarie Group Limited,"New York, NY",85000.0,Data_Scientist,Entry_level
67,        Analytic Recruiting,"New York, NY 10017 (Midtown area)",85000.0,Data_Scientist,Entry_level
68,        Analytic Recruiting,"New York, NY 10017 (Midtown area)",85000.0,Data_Scientist,Entry_level
69,        Quartet,"New York, NY 10018 (Clinton area)",85000.0,Data_Scientist,Entry_level
70,    NewAge Clinical,"New Brunswick, NJ",85000.0,Data_Scientist,Entry_level
71,    Predictive Science,United States,85000.0,Data_Scientist,Entry_level
0,        KPMG,"New York, NY 10154",85000.0,Data_Scientist,Mid_level
1,        KPMG,"New York, NY 10154",85000.0,Data_Scientist,Mid_level
2,    WorkFusion,"New York, NY",85000.0,Data_Scientist,Mid_level
3,    Tapad,"New York, NY",85000.0,Data_Scientist,Mid_level
4,        GroupM,"New York, NY",85000.0,Data_Scientist,Mid_level
5,        WeWork,"New York, NY 10005 (Financial District area)",85000.0,Data_Scientist,Mid_level
6,        Comcast,"New York, NY 10112 (Midtown area)",85000.0,Data_Scientist,Mid_level
7,        JPMorgan Chase,"New York, NY",85000.0,Data_Scientist,Mid_level
8,        EXPERIAN,"New York, NY 10020 (Midtown area)",85000.0,Data_Scientist,Mid_level
9,        Healthfirst,"New York, NY",85000.0,Data_Scientist,Mid_level
10,        Roku,"New York, NY 10001 (Chelsea area)",85000.0,Data_Scientist,Mid_level
11,        Verizon,"Basking Ridge, NJ 07920",85000.0,Data_Scientist,Mid_level
12,    MediQuire,"New York, NY 10018 (Clinton area)",85000.0,Data_Scientist,Mid_level
13,        Accenture,"New York, NY 10011 (Chelsea area)",85000.0,Data_Scientist,Mid_level
14,        Phreesia,"New York, NY",85000.0,Data_Scientist,Mid_level
15,        New York Power Authority,"White Plains, NY 10601",85000.0,Data_Scientist,Mid_level
16,    Analytic Partners,"New York, NY 10017 (Midtown area)",85000.0,Data_Scientist,Mid_level
17,        Spotify,"New York, NY 10011 (Chelsea area)",85000.0,Data_Scientist,Mid_level
18,        Amherst,"New York, NY 10022 (Midtown area)",85000.0,Data_Scientist,Mid_level
19,        IBM,"Armonk, NY",85000.0,Data_Scientist,Mid_level
20,        Perella Weinberg Partners,"New York, NY 10153 (Midtown area)",85000.0,Data_Scientist,Mid_level
21,        IBM,"Armonk, NY",85000.0,Data_Scientist,Mid_level
22,        adMarketplace,"New York, NY",85000.0,Data_Scientist,Mid_level
23,        JPMorgan Chase,"New York, NY",85000.0,Data_Scientist,Mid_level
24,    Brooklyn Data Science,"New York, NY",85000.0,Data_Scientist,Mid_level
25,        KPMG,"New York, NY 10154 (Midtown area)",85000.0,Data_Scientist,Mid_level
26,    ITG,"New York, NY 10017 (Midtown area)",85000.0,Data_Scientist,Mid_level
27,        Morgan Stanley,"New York, NY 10032 (Washington Heights area)",85000.0,Data_Scientist,Mid_level
28,        IBM Kenexa,"Armonk, NY",85000.0,Data_Scientist,Mid_level
29,    Brooklyn Data Science,"New York, NY",85000.0,Data_Scientist,Mid_level
30,        Siemens,"Princeton, NJ 08540",85000.0,Data_Scientist,Mid_level
31,        KPMG,"New York, NY 10154 (Midtown area)",85000.0,Data_Scientist,Mid_level
32,    Munich Health,"Princeton, NJ",85000.0,Data_Scientist,Mid_level
33,        Munich Re America,"Princeton, NJ",85000.0,Data_Scientist,Mid_level
34,"    Source of Future Technology, Inc.","New York, NY",85000.0,Data_Scientist,Mid_level
35,"    Orzota, Inc.","New York, NY",85000.0,Data_Scientist,Mid_level
36,        DBRS,"New York, NY 10005 (Financial District area)",85000.0,Data_Scientist,Mid_level
37,        JPMorgan Chase,"New York, NY",85000.0,Data_Scientist,Mid_level
38,    Sparks & Honey,"New York, NY",85000.0,Data_Scientist,Mid_level
39,    Scienaptic Systems Inc,"New York, NY",85000.0,Data_Scientist,Mid_level
40,        Capital One,"New York, NY",85000.0,Data_Scientist,Mid_level
41,    Paltalk,"New York, NY 10018 (Clinton area)",85000.0,Data_Scientist,Mid_level
42,        Swiss Re,"Armonk, NY 10504",85000.0,Data_Scientist,Mid_level
43,        Medidata Solutions,"New York, NY 10003 (Greenwich Village area)",85000.0,Data_Scientist,Mid_level
44,        Capital One,"New York, NY",85000.0,Data_Scientist,Mid_level
45,        Facebook,"New York, NY",85000.0,Data_Scientist,Mid_level
46,        Workbridge Associates,"New York, NY 10010 (Gramercy area)",85000.0,Data_Scientist,Mid_level
47,"    Cognical, Inc.","New York, NY 10001 (Chelsea area)",85000.0,Data_Scientist,Mid_level
48,        Gilt Groupe,"New York, NY 10016 (Gramercy area)",85000.0,Data_Scientist,Mid_level
