,Store_Number,County,Sale_total_month
0,2106,Black Hawk,30523.75
1,2113,Webster,2065.9
2,2130,Black Hawk,27856.11
3,2152,Cerro Gordo,1376.43
4,2178,Allamakee,5588.5
5,2190,Polk,34515.69
6,2191,Lee,47338.2
7,2200,Sac,4174.87
8,2228,Madison,3086.38
9,2233,Dickinson,6522.65
10,2238,Polk,4197.66
11,2248,Polk,14524.18
12,2285,Johnson,12580.69
13,2290,Buena Vista,12846.93
14,2327,Adams,2196.57
15,2353,Howard,5235.86
16,2413,Dubuque,23355.03
17,2445,Pottawattamie,1423.37
18,2448,Warren,6738.18
19,2459,Guthrie,1824.69
20,2460,Franklin,6995.86
21,2465,Dubuque,5383.76
22,2475,Kossuth,4790.07
23,2478,Polk,4462.62
24,2498,Fayette,780.34
25,2500,Story,33836.19
26,2501,Story,29980.54
27,2502,Polk,19017.37
28,2505,Boone,14605.93
29,2506,Des Moines,33041.43
30,2507,Des Moines,6147.99
31,2508,Linn,23254.14
32,2509,Linn,9749.85
33,2512,Johnson,112518.79
34,2513,Johnson,17970.36
35,2514,Linn,5522.69
36,2515,Cerro Gordo,22169.46
37,2517,Jasper,16165.27
38,2518,Montgomery,6279.24
39,2521,Polk,25970.12
40,2522,Dickinson,17305.66
41,2523,Appanoose,11888.36
42,2524,Dubuque,25920.76
43,2527,Polk,10667.29
44,2528,Polk,17477.28
45,2529,Linn,6963.62
46,2532,Polk,11061.03
47,2535,Polk,11673.67
48,2536,Polk,13359.72
49,2538,Black Hawk,16386.69
50,2539,Hardin,14027.28
51,2543,Wapello,12512.07
52,2544,Marshall,30504.59
53,2545,Johnson,7880.18
54,2548,Polk,29272.08
55,2549,Warren,16286.12
56,2550,Clarke,3763.08
57,2551,Lucas,10015.29
58,2552,Linn,20516.91
59,2553,Union,6997.28
60,2554,Scott,4865.08
61,2555,Lee,17551.62
62,2556,Emmet,7278.12
63,2558,Henry,20680.81
64,2559,Monroe,2031.14
65,2560,Linn,18659.71
66,2561,Polk,25738.32
67,2562,Webster,14998.9
68,2564,Black Hawk,10800.62
69,2565,Clay,16250.33
70,2566,Marion,6734.91
