,Company_name,Location,Salary,Title,Experience
0,    Predictive Science,United States,75000.0,Data_Scientist,Entry_level
1,        Engility Corporation,"Bethesda, MD 20892",75000.0,Data_Scientist,Entry_level
2,        Massachusetts Institute of Technology (MIT),"Provost, VA",75000.0,Data_Scientist,Entry_level
3,        Booz Allen Hamilton,"Washington, DC",75000.0,Data_Scientist,Entry_level
4,        Booz Allen Hamilton,"Washington, DC",75000.0,Data_Scientist,Entry_level
5,        Booz Allen Hamilton,"Alexandria, VA",75000.0,Data_Scientist,Entry_level
6,        University of Virginia,"Charlottesville, VA",75000.0,Data_Scientist,Entry_level
7,        Vox Media,"Washington, DC",75000.0,Data_Scientist,Entry_level
8,        Deloitte,"Arlington, VA 22209 (Radnor-Ft Myer Heights area)",75000.0,Data_Scientist,Entry_level
9,        Booz Allen Hamilton,"Alexandria, VA",75000.0,Data_Scientist,Entry_level
10,        Grant Thornton,"Alexandria, VA 22314 (Southwest Quadrant area)",75000.0,Data_Scientist,Entry_level
11,        Booz Allen Hamilton,"Chantilly, VA 20151",75000.0,Data_Scientist,Entry_level
12,        Booz Allen Hamilton,"McLean, VA",75000.0,Data_Scientist,Entry_level
13,    Gryphon Scientific,"Takoma Park, MD",75000.0,Data_Scientist,Entry_level
14,        IBM Kenexa,"Washington, DC",75000.0,Data_Scientist,Entry_level
15,        Jobspring Partners,"Washington, DC 20005 (Logan Circle area)",75000.0,Data_Scientist,Entry_level
16,        SAIC,"McLean, VA",75000.0,Data_Scientist,Entry_level
17,        CACI,"Washington, DC 20001 (Shaw area)",75000.0,Data_Scientist,Entry_level
18,        Lockheed Martin,"Rockville, MD",75000.0,Data_Scientist,Entry_level
19,        Cubic Corporation,"Tidewater, VA",75000.0,Data_Scientist,Entry_level
20,        IBM,"Washington, DC 20005 (Logan Circle area)",75000.0,Data_Scientist,Entry_level
21,"    PKW Associates, Inc","Reston, VA",75000.0,Data_Scientist,Entry_level
22,    Trinity Global Consulting,"Springfield, VA",75000.0,Data_Scientist,Entry_level
23,        Engility Corporation,"Bethesda, MD 20892",75000.0,Data_Scientist,Entry_level
24,    Next Step Systems,"Washington, DC",75000.0,Data_Scientist,Entry_level
25,        Booz Allen Hamilton,"McLean, VA",75000.0,Data_Scientist,Entry_level
26,        CCRi,"Charlottesville, VA",75000.0,Data_Scientist,Entry_level
27,        Accenture,"Rosslyn, VA",75000.0,Data_Scientist,Entry_level
28,"    Synchronoss Technologies, Inc.","Reston, VA",75000.0,Data_Scientist,Entry_level
29,        Synchronoss,"Reston, VA",75000.0,Data_Scientist,Entry_level
30,    Veteran Staffing Network of Easter Seals,"McLean, VA",75000.0,Data_Scientist,Entry_level
31,    Whiteboard Federal Technologies,"Herndon, VA",75000.0,Data_Scientist,Entry_level
32,    SRL TotalSource LLC,"Washington, DC",75000.0,Data_Scientist,Entry_level
33,    Encore Search Partners,"Reston, VA",75000.0,Data_Scientist,Entry_level
34,        Mitre Corporation,"McLean, VA",75000.0,Data_Scientist,Entry_level
35,    Systems & Technology Research,"Arlington, VA 22203 (Bluemont area)",75000.0,Data_Scientist,Entry_level
36,    AboutWeb LLC,"Vienna, VA 22182",75000.0,Data_Scientist,Entry_level
