,Company_name,Location,Salary,Title,Experience
0,        GEICO,"Chevy Chase, MD",60000.0,Data_Analyst,Entry_level
1,        Evolent Health,"Arlington, VA 22203",60000.0,Data_Analyst,Entry_level
2,    Datalogic Solutions Inc,"Chantilly, VA",60000.0,Data_Analyst,Entry_level
3,    Cipher3,"Washington, DC",60000.0,Data_Analyst,Entry_level
4,"    Interfolio, Inc","Washington, DC 20036 (Downtown area)",60000.0,Data_Analyst,Entry_level
5,        JLL,"Washington, DC",60000.0,Data_Analyst,Entry_level
6,    Goodwill Excel Center - DC,"Washington, DC",60000.0,Data_Analyst,Entry_level
7,        Booz Allen Hamilton,"Washington, DC",60000.0,Data_Analyst,Entry_level
8,        Grant Thornton,"Washington, DC 20036 (Downtown area)",60000.0,Data_Analyst,Entry_level
9,    FAAZ Consulting LLC,"Washington, DC",60000.0,Data_Analyst,Entry_level
10,        Centra Technology,"Washington, DC",60000.0,Data_Analyst,Entry_level
11,        Smithsonian Institution,"Washington, DC",60000.0,Data_Analyst,Entry_level
12,        Booz Allen Hamilton,"Alexandria, VA",60000.0,Data_Analyst,Entry_level
13,        Booz Allen Hamilton,"McLean, VA",60000.0,Data_Analyst,Entry_level
14,    Advanced Software Systems,"Arlington, VA",60000.0,Data_Analyst,Entry_level
15,        Booz Allen Hamilton,"Silver Spring, MD",60000.0,Data_Analyst,Entry_level
16,        AOL,"Baltimore, MD",60000.0,Data_Analyst,Entry_level
17,    US News & World Report,"Washington, DC 20007 (Georgetown area)",60000.0,Data_Analyst,Entry_level
18,    AER,"College Park, MD",60000.0,Data_Analyst,Entry_level
19,        Booz Allen Hamilton,"Washington, DC",60000.0,Data_Analyst,Entry_level
20,        Deloitte,"Arlington, VA 22209 (Radnor-Ft Myer Heights area)",60000.0,Data_Analyst,Entry_level
21,        GEICO,"Chevy Chase, MD",60000.0,Data_Analyst,Entry_level
22,        Booz Allen Hamilton,"Washington, DC",60000.0,Data_Analyst,Entry_level
23,        DISYS,"McLean, VA",60000.0,Data_Analyst,Entry_level
24,    Korn Ferry/Futurestep,"Washington, DC",60000.0,Data_Analyst,Entry_level
25,        ICF International,"Fairfax, VA",60000.0,Data_Analyst,Entry_level
26,        Alltech International,"Washington, DC",60000.0,Data_Analyst,Entry_level
27,        Grant Thornton,"Washington, DC 20036 (Downtown area)",60000.0,Data_Analyst,Entry_level
28,        Accenture,"Rosslyn, VA",60000.0,Data_Analyst,Entry_level
29,    Alliance of Community Health Plans,"Washington, DC",60000.0,Data_Analyst,Entry_level
30,    Insequence Inc.,"Herndon, VA 20171",60000.0,Data_Analyst,Entry_level
31,        Booz Allen Hamilton,"McLean, VA",60000.0,Data_Analyst,Entry_level
32,        Wellcare,"Baltimore, MD",60000.0,Data_Analyst,Entry_level
33,    eAcuity,"Washington, DC",60000.0,Data_Analyst,Entry_level
34,"    Vesper Wave Solutions, LLC","Washington, DC",60000.0,Data_Analyst,Entry_level
35,        Kavaliro,"Washington, DC",60000.0,Data_Analyst,Entry_level
36,        U.S. Department of Labor,"Washington, DC",60000.0,Data_Analyst,Entry_level
37,        Mitre Corporation,"McLean, VA",60000.0,Data_Analyst,Entry_level
38,    Nodi Solutions,"Washington, DC",60000.0,Data_Analyst,Entry_level
39,        GEICO,"Chevy Chase, MD",60000.0,Data_Analyst,Entry_level
40,        Booz Allen Hamilton,"Washington, DC",60000.0,Data_Analyst,Entry_level
41,        Deloitte,"Washington, DC",60000.0,Data_Analyst,Entry_level
42,        Booz Allen Hamilton,"Washington, DC",60000.0,Data_Analyst,Entry_level
43,    Novetta,"Crystal City, VA",60000.0,Data_Analyst,Entry_level
44,    ASTA CRS INC.,"Falls Church, VA",60000.0,Data_Analyst,Entry_level
45,        Evolent Health,"Arlington, VA 22203 (Bluemont area)",60000.0,Data_Analyst,Entry_level
46,    Reveille Group,"Washington, DC",60000.0,Data_Analyst,Entry_level
47,        Vox Media,"Washington, DC",60000.0,Data_Analyst,Entry_level
48,        Bloomberg,"Washington, DC 20005 (Logan Circle area)",60000.0,Data_Analyst,Entry_level
49,    FAAZ Consulting LLC,"Arlington, VA",60000.0,Data_Analyst,Entry_level
50,        Facebook,"Washington, DC",60000.0,Data_Analyst,Entry_level
51,        AOL,"Baltimore, MD",60000.0,Data_Analyst,Entry_level
52,        AT&T,"Alexandria, VA",60000.0,Data_Analyst,Entry_level
53,"    The Upside Travel Company, LLC","Washington, DC",60000.0,Data_Analyst,Entry_level
54,        Atlantic Media,"Washington, DC 20037 (Foggy Bottom area)",60000.0,Data_Analyst,Entry_level
55,        Teracore,"Washington, DC",60000.0,Data_Analyst,Entry_level
56,        Deloitte,"Arlington, VA 22209 (Radnor-Ft Myer Heights area)",60000.0,Data_Analyst,Entry_level
57,        Atlas Research,"Washington, DC 20005 (Logan Circle area)",60000.0,Data_Analyst,Entry_level
58,        Dentons,"Washington, DC",60000.0,Data_Analyst,Entry_level
59,        Booz Allen Hamilton,"Alexandria, VA",60000.0,Data_Analyst,Entry_level
60,"    TechniPower, Inc.","Upper Marlboro, MD",60000.0,Data_Analyst,Entry_level
61,    Informa Business Intelligence,"Washington, DC",60000.0,Data_Analyst,Entry_level
62,"    Ian, Evan & Alexander Corporation","Washington, DC 20037 (Foggy Bottom area)",60000.0,Data_Analyst,Entry_level
63,        Centra Technology,"Washington, DC",60000.0,Data_Analyst,Entry_level
64,        Booz Allen Hamilton,"McLean, VA",60000.0,Data_Analyst,Entry_level
65,        Grant Thornton,"Alexandria, VA 22314 (Southwest Quadrant area)",60000.0,Data_Analyst,Entry_level
66,"    BKM Global Enterprises, LLC","Washington, DC",60000.0,Data_Analyst,Entry_level
67,"    Integral Consulting Services, Inc.","Rockville, MD",60000.0,Data_Analyst,Entry_level
68,    Association of Universities for Research in Astron...,"Baltimore, MD",60000.0,Data_Analyst,Entry_level
69,        MicroStrategy,"Tysons, VA",60000.0,Data_Analyst,Entry_level
70,"    Chinese Culture and Community Service Center, Inc.","Gaithersburg, MD",60000.0,Data_Analyst,Entry_level
71,        U.S. Department of Labor,"Washington, DC",60000.0,Data_Analyst,Entry_level
72,    USmax Corporation,"Alexandria, VA",60000.0,Data_Analyst,Entry_level
73,        Grant Thornton,"Washington, DC 20036 (Downtown area)",60000.0,Data_Analyst,Entry_level
74,    Career TEAM,"Washington, DC 20024 (South West area)",60000.0,Data_Analyst,Entry_level
75,    BitVoyant,"Rosslyn, VA",60000.0,Data_Analyst,Entry_level
76,    Gryphon Scientific,"Takoma Park, MD",60000.0,Data_Analyst,Entry_level
77,        Atlas Research,"Washington, DC 20005 (Logan Circle area)",60000.0,Data_Analyst,Entry_level
78,        Booz Allen Hamilton,"Fort Meade, MD",60000.0,Data_Analyst,Entry_level
79,"    Measure UAS, Inc.","Washington, DC",60000.0,Data_Analyst,Entry_level
80,        Aon,"Hunt Valley, MD",60000.0,Data_Analyst,Entry_level
81,    Trinity Global Consulting,"Springfield, VA",60000.0,Data_Analyst,Entry_level
82,        SyApps LLC,"Washington, DC",60000.0,Data_Analyst,Entry_level
83,        REDHORSE CORPORATION,"Arlington, VA 22202 (Aurora Highlands area)",60000.0,Data_Analyst,Entry_level
84,        Acumen LLC,"Washington, DC",60000.0,Data_Analyst,Entry_level
85,        Grant Thornton,"Alexandria, VA 22314 (Southwest Quadrant area)",60000.0,Data_Analyst,Entry_level
