,Unnamed: 0,Company_name,Location,Salary,Title,Experience,City,State
0,0,        GEICO,"Chevy Chase, MD",60000.0,Data_Analyst,Entry_level,Chevy Chase,MD
1,1,        Evolent Health,"Arlington, VA 22203",60000.0,Data_Analyst,Entry_level,Arlington,VA 22203
2,2,    Datalogic Solutions Inc,"Chantilly, VA",60000.0,Data_Analyst,Entry_level,Chantilly,VA
3,3,    Cipher3,"Washington, DC",60000.0,Data_Analyst,Entry_level,Washington,DC
4,4,"    Interfolio, Inc","Washington, DC 20036 (Downtown area)",60000.0,Data_Analyst,Entry_level,Washington,DC 20036 (Downtown area)
5,5,        JLL,"Washington, DC",60000.0,Data_Analyst,Entry_level,Washington,DC
6,6,    Goodwill Excel Center - DC,"Washington, DC",60000.0,Data_Analyst,Entry_level,Washington,DC
7,7,        Booz Allen Hamilton,"Washington, DC",60000.0,Data_Analyst,Entry_level,Washington,DC
8,8,        Grant Thornton,"Washington, DC 20036 (Downtown area)",60000.0,Data_Analyst,Entry_level,Washington,DC 20036 (Downtown area)
9,9,    FAAZ Consulting LLC,"Washington, DC",60000.0,Data_Analyst,Entry_level,Washington,DC
10,10,        Centra Technology,"Washington, DC",60000.0,Data_Analyst,Entry_level,Washington,DC
11,11,        Smithsonian Institution,"Washington, DC",60000.0,Data_Analyst,Entry_level,Washington,DC
12,12,        Booz Allen Hamilton,"Alexandria, VA",60000.0,Data_Analyst,Entry_level,Alexandria,VA
13,13,        Booz Allen Hamilton,"McLean, VA",60000.0,Data_Analyst,Entry_level,McLean,VA
14,14,    Advanced Software Systems,"Arlington, VA",60000.0,Data_Analyst,Entry_level,Arlington,VA
15,15,        Booz Allen Hamilton,"Silver Spring, MD",60000.0,Data_Analyst,Entry_level,Silver Spring,MD
16,16,        AOL,"Baltimore, MD",60000.0,Data_Analyst,Entry_level,Baltimore,MD
17,17,    US News & World Report,"Washington, DC 20007 (Georgetown area)",60000.0,Data_Analyst,Entry_level,Washington,DC 20007 (Georgetown area)
18,18,    AER,"College Park, MD",60000.0,Data_Analyst,Entry_level,College Park,MD
19,19,        Booz Allen Hamilton,"Washington, DC",60000.0,Data_Analyst,Entry_level,Washington,DC
20,20,        Deloitte,"Arlington, VA 22209 (Radnor-Ft Myer Heights area)",60000.0,Data_Analyst,Entry_level,Arlington,VA 22209 (Radnor-Ft Myer Heights area)
21,21,        GEICO,"Chevy Chase, MD",60000.0,Data_Analyst,Entry_level,Chevy Chase,MD
22,22,        Booz Allen Hamilton,"Washington, DC",60000.0,Data_Analyst,Entry_level,Washington,DC
23,23,        DISYS,"McLean, VA",60000.0,Data_Analyst,Entry_level,McLean,VA
24,24,    Korn Ferry/Futurestep,"Washington, DC",60000.0,Data_Analyst,Entry_level,Washington,DC
25,25,        ICF International,"Fairfax, VA",60000.0,Data_Analyst,Entry_level,Fairfax,VA
26,26,        Alltech International,"Washington, DC",60000.0,Data_Analyst,Entry_level,Washington,DC
27,27,        Grant Thornton,"Washington, DC 20036 (Downtown area)",60000.0,Data_Analyst,Entry_level,Washington,DC 20036 (Downtown area)
28,28,        Accenture,"Rosslyn, VA",60000.0,Data_Analyst,Entry_level,Rosslyn,VA
29,29,    Alliance of Community Health Plans,"Washington, DC",60000.0,Data_Analyst,Entry_level,Washington,DC
30,30,    Insequence Inc.,"Herndon, VA 20171",60000.0,Data_Analyst,Entry_level,Herndon,VA 20171
31,31,        Booz Allen Hamilton,"McLean, VA",60000.0,Data_Analyst,Entry_level,McLean,VA
32,32,        Wellcare,"Baltimore, MD",60000.0,Data_Analyst,Entry_level,Baltimore,MD
33,33,    eAcuity,"Washington, DC",60000.0,Data_Analyst,Entry_level,Washington,DC
34,34,"    Vesper Wave Solutions, LLC","Washington, DC",60000.0,Data_Analyst,Entry_level,Washington,DC
35,35,        Kavaliro,"Washington, DC",60000.0,Data_Analyst,Entry_level,Washington,DC
36,36,        U.S. Department of Labor,"Washington, DC",60000.0,Data_Analyst,Entry_level,Washington,DC
37,37,        Mitre Corporation,"McLean, VA",60000.0,Data_Analyst,Entry_level,McLean,VA
38,38,    Nodi Solutions,"Washington, DC",60000.0,Data_Analyst,Entry_level,Washington,DC
39,39,        GEICO,"Chevy Chase, MD",60000.0,Data_Analyst,Entry_level,Chevy Chase,MD
40,40,        Booz Allen Hamilton,"Washington, DC",60000.0,Data_Analyst,Entry_level,Washington,DC
41,41,        Deloitte,"Washington, DC",60000.0,Data_Analyst,Entry_level,Washington,DC
42,42,        Booz Allen Hamilton,"Washington, DC",60000.0,Data_Analyst,Entry_level,Washington,DC
43,43,    Novetta,"Crystal City, VA",60000.0,Data_Analyst,Entry_level,Crystal City,VA
44,44,    ASTA CRS INC.,"Falls Church, VA",60000.0,Data_Analyst,Entry_level,Falls Church,VA
45,45,        Evolent Health,"Arlington, VA 22203 (Bluemont area)",60000.0,Data_Analyst,Entry_level,Arlington,VA 22203 (Bluemont area)
46,46,    Reveille Group,"Washington, DC",60000.0,Data_Analyst,Entry_level,Washington,DC
47,47,        Vox Media,"Washington, DC",60000.0,Data_Analyst,Entry_level,Washington,DC
48,48,        Bloomberg,"Washington, DC 20005 (Logan Circle area)",60000.0,Data_Analyst,Entry_level,Washington,DC 20005 (Logan Circle area)
49,49,    FAAZ Consulting LLC,"Arlington, VA",60000.0,Data_Analyst,Entry_level,Arlington,VA
50,50,        Facebook,"Washington, DC",60000.0,Data_Analyst,Entry_level,Washington,DC
51,51,        AOL,"Baltimore, MD",60000.0,Data_Analyst,Entry_level,Baltimore,MD
52,52,        AT&T,"Alexandria, VA",60000.0,Data_Analyst,Entry_level,Alexandria,VA
53,53,"    The Upside Travel Company, LLC","Washington, DC",60000.0,Data_Analyst,Entry_level,Washington,DC
54,54,        Atlantic Media,"Washington, DC 20037 (Foggy Bottom area)",60000.0,Data_Analyst,Entry_level,Washington,DC 20037 (Foggy Bottom area)
55,55,        Teracore,"Washington, DC",60000.0,Data_Analyst,Entry_level,Washington,DC
56,56,        Deloitte,"Arlington, VA 22209 (Radnor-Ft Myer Heights area)",60000.0,Data_Analyst,Entry_level,Arlington,VA 22209 (Radnor-Ft Myer Heights area)
