,Company_name,Location,Salary,Title,Experience
0,    Star Gas Partners LP,"Woodbury, NY",55000.0,Data_Analyst,Entry_level
1,        ANN INC.,"New York, NY 10001",55000.0,Data_Analyst,Entry_level
2,    Predictive Science,United States,55000.0,Data_Analyst,Entry_level
3,    Veterans Sourcing Group,"Brooklyn, NY 11203",55000.0,Data_Analyst,Entry_level
4,    Viant,"New York, NY",55000.0,Data_Analyst,Entry_level
5,    New Avon LLC,"New York, NY",55000.0,Data_Analyst,Entry_level
6,    Schonfeld Group,"New York, NY",55000.0,Data_Analyst,Entry_level
7,        BMO Financial Group,"New York, NY",55000.0,Data_Analyst,Entry_level
8,        Dell,"New York, NY",55000.0,Data_Analyst,Entry_level
9,    Carrot Creative,"New York, NY",55000.0,Data_Analyst,Entry_level
10,    Global Strategy Group,"New York, NY 10003 (Greenwich Village area)",55000.0,Data_Analyst,Entry_level
11,        East West Bank,"New York, NY",55000.0,Data_Analyst,Entry_level
12,    Tilting Point,"New York, NY",55000.0,Data_Analyst,Entry_level
13,        IBM,"Armonk, NY",55000.0,Data_Analyst,Entry_level
14,"    Two Sigma Investments, LLC.","New York, NY",55000.0,Data_Analyst,Entry_level
15,    Corporate Technology,"New York, NY",55000.0,Data_Analyst,Entry_level
16,        Bloomberg,"New York, NY",55000.0,Data_Analyst,Entry_level
17,        Memorial Sloan Kettering,"New York, NY",55000.0,Data_Analyst,Entry_level
18,        AOL,"New York, NY 10011 (Chelsea area)",55000.0,Data_Analyst,Entry_level
19,        IPG Mediabrands,"New York, NY",55000.0,Data_Analyst,Entry_level
20,        Weill Cornell Medical College,"New York, NY",55000.0,Data_Analyst,Entry_level
21,"    Two Sigma Investments, LLC.","New York, NY",55000.0,Data_Analyst,Entry_level
22,    Moody's Shared Services,"New York, NY",55000.0,Data_Analyst,Entry_level
23,        Accenture,"New York, NY 10011 (Chelsea area)",55000.0,Data_Analyst,Entry_level
24,        Ebiquity,"New York, NY",55000.0,Data_Analyst,Entry_level
25,        Morgan Stanley,"Purchase, NY",55000.0,Data_Analyst,Entry_level
26,    MUFG,"New York, NY",55000.0,Data_Analyst,Entry_level
27,    HelloFresh,"New York, NY",55000.0,Data_Analyst,Entry_level
28,        Hospital for Special Surgery,"New York, NY",55000.0,Data_Analyst,Entry_level
29,        GroupM,"New York, NY",55000.0,Data_Analyst,Entry_level
30,        AOL,"New York, NY 10011 (Chelsea area)",55000.0,Data_Analyst,Entry_level
31,"    Two Sigma Investments, LLC.","New York, NY",55000.0,Data_Analyst,Entry_level
32,    The Michael J. Fox Foundation for Parkinson's Rese...,"New York, NY",55000.0,Data_Analyst,Entry_level
33,    Essence,"New York, NY",55000.0,Data_Analyst,Entry_level
34,        JCA,"New York, NY",55000.0,Data_Analyst,Entry_level
35,        Morgan Lewis,"Princeton, NJ",55000.0,Data_Analyst,Entry_level
36,        Advertising Age,"New York, NY",55000.0,Data_Analyst,Entry_level
37,    Dascase Technologies Inc,"New Brunswick, NJ",55000.0,Data_Analyst,Entry_level
38,        3Q Digital,"New York, NY",55000.0,Data_Analyst,Entry_level
39,    Looker,"New York, NY",55000.0,Data_Analyst,Entry_level
40,        DEPARTMENT OF SANITATION,"New York, NY",55000.0,Data_Analyst,Entry_level
41,        Ipsos North America,"New York, NY",55000.0,Data_Analyst,Entry_level
42,        NewYork-Presbyterian/Weill Cornell Medical Center,"New York, NY",55000.0,Data_Analyst,Entry_level
43,        Intercept Pharmaceuticals,"New York, NY 10013 (Tribeca area)",55000.0,Data_Analyst,Entry_level
44,        Healthfirst,"New York, NY",55000.0,Data_Analyst,Entry_level
45,"        Gartner, Inc.","Stamford, CT 06902 (Downtown area)",55000.0,Data_Analyst,Entry_level
46,    Jamestown Management Corporation,"Brooklyn, NY",55000.0,Data_Analyst,Entry_level
47,        AOL,"New York, NY 10011 (Chelsea area)",55000.0,Data_Analyst,Entry_level
48,    AskMyUncleSam,"New York, NY",55000.0,Data_Analyst,Entry_level
49,        TD Bank,"New York, NY",55000.0,Data_Analyst,Entry_level
50,        Ipsos North America,"New York, NY",55000.0,Data_Analyst,Entry_level
51,    Brooklyn Data Science,"New York, NY",55000.0,Data_Analyst,Entry_level
52,        Cox Media Group,"New York, NY",55000.0,Data_Analyst,Entry_level
53,    Star Gas Partners LP,"Woodbury, NY",55000.0,Data_Analyst,Entry_level
54,        True North Inc,"New York, NY 10017 (Midtown area)",55000.0,Data_Analyst,Entry_level
55,    Rocketrip,"Manhattan, NY",55000.0,Data_Analyst,Entry_level
56,        Pitney Bowes,"New York, NY",55000.0,Data_Analyst,Entry_level
57,    Benenson Strategy Group,"New York, NY",55000.0,Data_Analyst,Entry_level
58,    Veterans Sourcing Group,"New York, NY 10005 (Financial District area)",55000.0,Data_Analyst,Entry_level
59,        Foresters Financial,"New York, NY",55000.0,Data_Analyst,Entry_level
60,        Bonobos,"New York, NY",55000.0,Data_Analyst,Entry_level
61,        Federal Reserve Bank of New York,"New York, NY",55000.0,Data_Analyst,Entry_level
62,        Morgan Stanley,"New York, NY 10032 (Washington Heights area)",55000.0,Data_Analyst,Entry_level
63,        Dailymotion,"New York, NY",55000.0,Data_Analyst,Entry_level
64,        Barnes & Noble,"New York, NY",55000.0,Data_Analyst,Entry_level
65,        Voya Financial,"New York, NY",55000.0,Data_Analyst,Entry_level
66,        AIG,"New York, NY",55000.0,Data_Analyst,Entry_level
67,        Public Health Solutions,"New York, NY 10013 (Tribeca area)",55000.0,Data_Analyst,Entry_level
68,    New Avon LLC,"New York, NY",55000.0,Data_Analyst,Entry_level
69,        ShopKeep,"New York, NY",55000.0,Data_Analyst,Entry_level
70,    Indus Software Solutions Inc.,"New York, NY",55000.0,Data_Analyst,Entry_level
71,"    InterWorks, Inc.","New York, NY 10014 (West Village area)",55000.0,Data_Analyst,Entry_level
72,    MUFG,"New York, NY",55000.0,Data_Analyst,Entry_level
73,        Brown Brothers Harriman,"New York, NY",55000.0,Data_Analyst,Entry_level
74,        Oxford Solutions,"New York, NY",55000.0,Data_Analyst,Entry_level
75,    Veterans Sourcing Group,"Jersey City, NJ 07310 (Downtown area)",55000.0,Data_Analyst,Entry_level
76,        Phreesia,"New York, NY",55000.0,Data_Analyst,Entry_level
77,        Morgan Stanley,"Purchase, NY",55000.0,Data_Analyst,Entry_level
